Series_Title,Released_Year,Runtime,IMDB_Rating,Director,Star1,No_of_Votes,Gross,Metascore,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_Film-Noir,Genre_Horror,Genre_Mystery,Genre_Thriller,Genre_Western
The Shawshank Redemption,1994,0.6805291267154798,4.905332076611415,Frank Darabont,Tim Robbins,6.324450845601932,-0.4971712504721595,10.0,False,False,False,False,False,True,False,False,False,False,False,False,False
The Godfather,1972,1.8557586615739676,4.542162455184637,Francis Ford Coppola,Marlon Brando,4.115639194340423,0.0332735780224384,10.0,False,False,False,False,True,False,False,False,False,False,False,False,False
The Dark Knight,2008,1.0366592887938095,3.815823212331096,Christopher Nolan,Christian Bale,6.20257766104116,2.0226829683791623,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False
The Godfather: Part II,1974,2.8173100991854576,3.815823212331096,Francis Ford Coppola,Al Pacino,2.6168569633767,-0.35310643110043594,10.0,False,False,False,False,True,False,False,False,False,False,False,False,False
12 Angry Men,1957,-0.9576696188448364,3.815823212331096,Sidney Lumet,Henry Fonda,1.2718235705915062,-0.6164758519297951,10.0,False,False,False,False,True,False,False,False,False,False,False,False,False
The Lord of the Rings: The Return of the King,2003,2.7816970829776246,3.452653590904325,Peter Jackson,Elijah Wood,4.184069468564312,1.2415665826712448,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False
Pulp Fiction,1994,1.1078853212094755,3.452653590904325,Quentin Tarantino,John Travolta,4.744659223416173,-0.10123511026085404,10.0,False,False,False,False,True,False,False,False,False,False,False,False,False
Schindler's List,1993,2.568018985730627,3.452653590904325,Steven Spielberg,Liam Neeson,2.8722075373675278,-0.15610760672969168,10.0,False,False,True,False,False,False,False,False,False,False,False,False,False
Inception,2010,0.8942072239624776,3.0894839694775547,Christopher Nolan,Leonardo DiCaprio,5.480745386067267,0.817361177741373,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False
Fight Club,1999,0.573690078091981,3.0894839694775547,David Fincher,Brad Pitt,4.83191844317592,-0.45394646314671827,10.0,False,False,False,False,False,True,False,False,False,False,False,False,False
The Lord of the Rings: The Fellowship of the Ring,2001,1.9625977101974665,3.0894839694775547,Peter Jackson,Elijah Wood,4.241289781381688,0.9316266674965161,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False
Forrest Gump,1994,0.6805291267154798,3.0894839694775547,Robert Zemeckis,Tom Hanks,4.692805511533866,1.0047941750093077,10.0,False,False,False,False,False,True,False,False,False,False,False,False,False
"Il buono, il brutto, il cattivo",1966,1.357176434664306,3.0894839694775547,Sergio Leone,Clint Eastwood,1.267376871069566,-0.6078195846037073,10.0,False,False,False,False,False,False,False,False,False,False,False,False,True
The Lord of the Rings: The Two Towers,2002,1.9982107264052993,2.7263143480507774,Peter Jackson,Elijah Wood,3.7036333826897154,1.0659809657796948,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False
The Matrix,1999,0.4668510294684821,2.7263143480507774,Lana Wachowski,Lilly Wachowski,4.2869639561963915,0.21492345243633718,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False
Goodfellas,1990,0.8229811915468117,2.7263143480507774,Martin Scorsese,Robert De Niro,2.28304888414378,-0.405161471750353,10.0,False,False,True,False,False,False,False,False,False,False,False,False,False
Star Wars: Episode V - The Empire Strikes Back,1980,0.03949483497448656,2.7263143480507774,Irvin Kershner,Mark Hamill,2.7065947214954114,0.8069083469055521,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False
One Flew Over the Cuckoo's Nest,1975,0.3600119808449832,2.7263143480507774,Milos Forman,Jack Nicholson,1.9693686145682459,-0.08098124561940186,10.0,False,False,False,False,False,True,False,False,False,False,False,False,False
Hamilton,2020,1.321563418456473,2.363144726624007,Thomas Kail,Lin-Manuel Miranda,-0.6674691912264518,1.5556740577501182,10.0,False,False,True,False,False,False,False,False,False,False,False,False,False
Gisaengchung,2019,0.32439896463715023,2.363144726624007,Bong Joon Ho,Kang-ho Song,0.852926138719511,-0.37266838139002206,10.0,False,False,False,True,False,False,False,False,False,False,False,False,False
Soorarai Pottru,2020,1.0722723050016425,2.363144726624007,Sudha Kongara,Suriya,-0.6683738118852107,2.1320016948745573,10.0,False,False,False,False,False,True,False,False,False,False,False,False,False
Interstellar,2014,1.6420805643269698,2.363144726624007,Christopher Nolan,Matthew McConaughey,3.78555350687226,0.29720817351033063,10.0,True,False,False,False,False,False,False,False,False,False,False,False,False
Cidade de Deus,2002,0.25317293222148435,2.363144726624007,Fernando Meirelles,Kátia Lund,1.3005850064684668,-0.6005393802150897,10.0,False,False,False,False,True,False,False,False,False,False,False,False,False
Sen to Chihiro no kamikakushi,2001,0.07510785118231952,2.363144726624007,Hayao Miyazaki,Daveigh Chase,1.154256502612461,-0.5881397150587016,10.0,False,True,False,False,False,False,False,False,False,False,False,False,False
Saving Private Ryan,1998,1.6420805643269698,2.363144726624007,Steven Spielberg,Tom Hanks,2.940356645710992,0.43909579737842097,10.0,False,False,False,False,False,True,False,False,False,False,False,False,False
The Green Mile,1999,2.354340888483629,2.363144726624007,Frank Darabont,Tom Hanks,2.671384807273919,0.04240227357501308,10.0,False,False,False,False,True,False,False,False,False,False,False,False,False
La vita è bella,1997,-0.24540929468817713,2.363144726624007,Roberto Benigni,Roberto Benigni,1.0694574843064337,-0.3516226921572154,10.0,False,False,False,True,False,False,False,False,False,False,False,False,False
Se7en,1995,0.14633388359798544,2.363144726624007,David Fincher,Morgan Freeman,3.579984574471041,-0.14005458384779337,10.0,False,False,False,False,True,False,False,False,False,False,False,False,False
The Silence of the Lambs,1991,-0.1741832622725112,2.363144726624007,Jonathan Demme,Jodie Foster,3.045466842726857,0.012262285015087266,10.0,False,False,False,False,True,False,False,False,False,False,False,False,False
Star Wars,1977,-0.06734421364901232,2.363144726624007,George Lucas,Mark Hamill,2.9271204562748943,0.9674227705743658,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False
Seppuku,1962,0.3600119808449832,2.363144726624007,Masaki Kobayashi,Tatsuya Nakadai,-0.7080762678917556,1.222326232612288,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False
Shichinin no samurai,1954,2.9953751802246225,2.363144726624007,Akira Kurosawa,Toshirô Mifune,0.12851447240780564,-0.636827726411817,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False
It's a Wonderful Life,1946,0.25317293222148435,2.363144726624007,Frank Capra,James Stewart,0.40374225168433664,-0.22831092048428145,10.0,False,False,False,False,False,True,False,False,False,False,False,False,False
Joker,2019,-0.03173119744117936,1.999975105197236,Todd Phillips,Joaquin Phoenix,2.0340489916695095,1.0306591465534543,10.0,False,False,False,False,True,False,False,False,False,False,False,False,False
Whiplash,2014,-0.6015394567665068,1.999975105197236,Damien Chazelle,Miles Teller,1.3566011958414141,-0.5730353195784169,10.0,False,False,False,False,False,True,False,False,False,False,False,False,False
The Intouchables,2011,-0.38786135951950895,1.999975105197236,Olivier Nakache,Éric Toledano,1.4873280494847025,-0.5725861836758499,10.0,False,False,True,False,False,False,False,False,False,False,False,False,False
The Prestige,2006,0.25317293222148435,1.999975105197236,Christopher Nolan,Christian Bale,2.80116425414621,-0.37405116039696923,10.0,False,False,False,False,False,True,False,False,False,False,False,False,False
The Departed,2006,1.0010462725859766,1.999975105197236,Martin Scorsese,Leonardo DiCaprio,2.799678964821356,0.020427995701966076,10.0,False,False,False,False,True,False,False,False,False,False,False,False,False
The Pianist,2002,0.9654332563781436,1.999975105197236,Roman Polanski,Adrien Brody,1.3933300170473766,-0.4761220539586259,10.0,False,False,True,False,False,False,False,False,False,False,False,False,False
Gladiator,2000,1.1434983374173084,1.999975105197236,Ridley Scott,Russell Crowe,3.2632573224739443,0.2956431303275065,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False
American History X,1998,-0.13857024606467824,1.999975105197236,Tony Kaye,Edward Norton,2.3257677610631458,-0.6047358440923177,10.0,False,False,False,False,False,True,False,False,False,False,False,False,False
The Usual Suspects,1995,-0.6015394567665068,1.999975105197236,Bryan Singer,Kevin Spacey,2.192834366488696,-0.5220450893572016,10.0,False,False,False,False,True,False,False,False,False,False,False,False,False
Léon,1994,-0.4590873919351749,1.999975105197236,Luc Besson,Jean Reno,2.327390577177338,-0.5411502175758192,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False
The Lion King,1994,-1.2425737485075,1.999975105197236,Roger Allers,Rob Minkoff,2.04258482106111,1.4651264867502753,10.0,False,True,False,False,False,False,False,False,False,False,False,False,False
Terminator 2: Judgment Day,1991,0.5024640456763151,1.999975105197236,James Cameron,Arnold Schwarzenegger,2.205969702945945,0.38090200555848786,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False
Nuovo Cinema Paradiso,1988,1.1434983374173084,1.999975105197236,Giuseppe Tornatore,Philippe Noiret,-0.1312002850313593,-0.5785156272968944,10.0,False,False,False,False,False,True,False,False,False,False,False,False,False
Hotaru no haka,1988,-1.2069607322996672,1.999975105197236,Isao Takahata,Tsutomu Tatsumi,-0.11754540292549813,0.1117185978046956,10.0,False,True,False,False,False,False,False,False,False,False,False,False,False
Back to the Future,1985,-0.24540929468817713,1.999975105197236,Robert Zemeckis,Michael J. Fox,2.397208343898108,0.40958913417018916,10.0,True,False,False,False,False,False,False,False,False,False,False,False,False
Once Upon a Time in the West,1968,1.499628499495638,1.999975105197236,Sergio Leone,Henry Fonda,0.08909012613081164,-0.6116924782032594,10.0,False,False,False,False,False,False,False,False,False,False,False,False,True
Psycho,1960,-0.49470040814300786,1.999975105197236,Alfred Hitchcock,Anthony Perkins,1.010113146631498,-0.47897054796826344,10.0,False,False,False,False,False,False,False,False,False,True,False,False,False
Casablanca,1942,-0.7439915215978385,1.999975105197236,Michael Curtiz,Humphrey Bogart,0.7591481491451264,-0.6330692199126262,10.0,False,False,False,False,False,True,False,False,False,False,False,False,False
Modern Times,1936,-1.2781867647153329,1.999975105197236,Charles Chaplin,Charles Chaplin,-0.170569620592618,-0.6373541468620338,10.0,False,False,False,True,False,False,False,False,False,False,False,False,False
City Lights,1931,-1.2781867647153329,1.999975105197236,Charles Chaplin,Charles Chaplin,-0.3235055226386129,-0.6380708459977037,10.0,False,False,False,True,False,False,False,False,False,False,False,False,False
Capharnaüm,2018,0.11072086739015248,1.6368054837704655,Nadine Labaki,Zain Al Rafeea,-0.6450248192064328,-0.629902538430627,10.0,False,False,False,False,False,True,False,False,False,False,False,False,False
Ayla: The Daughter of War,2017,0.07510785118231952,1.6368054837704655,Can Ulkay,Erdem Can,-0.7321954105908283,2.7411511465984684,10.0,False,False,True,False,False,False,False,False,False,False,False,False,False
Vikram Vedha,2017,0.8585942077546447,1.6368054837704655,Gayatri,Pushkar,-0.7496490882333021,1.140842882898039,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False
Kimi no na wa.,2016,-0.6015394567665068,1.6368054837704655,Makoto Shinkai,Ryûnosuke Kamiki,-0.24099250518647636,-0.6132061409671503,10.0,False,True,False,False,False,False,False,False,False,False,False,False,False
Dangal,2016,1.357176434664306,1.6368054837704655,Nitesh Tiwari,Aamir Khan,-0.3582233965693611,-0.5765189149670101,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False
Spider-Man: Into the Spider-Verse,2018,-0.20979627848034416,1.6368054837704655,Bob Persichetti,Peter Ramsey,0.30994592520470693,0.3082588091526107,10.0,False,True,False,False,False,False,False,False,False,False,False,False,False
Avengers: Endgame,2019,2.0694367588209652,1.6368054837704655,Anthony Russo,Joe Russo,1.6388978520899362,3.632124623905934,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False
Avengers: Infinity War,2018,0.9298202401703106,1.6368054837704655,Anthony Russo,Joe Russo,1.7138407838267151,2.73884998240202,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False
Coco,2017,-0.6371524729743396,1.6368054837704655,Lee Unkrich,Adrian Molina,0.3376377082757025,0.40519261102040294,10.0,False,True,False,False,False,False,False,False,False,False,False,False,False
Django Unchained,2012,1.499628499495638,1.6368054837704655,Quentin Tarantino,Jamie Foxx,3.3128342019549826,0.1717689947954873,10.0,False,False,False,False,False,True,False,False,False,False,False,False,False
The Dark Knight Rises,2012,1.464015483287805,1.6368054837704655,Christopher Nolan,Christian Bale,3.797735324256764,1.5912658231704095,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False
3 Idiots,2009,1.6776935805348028,1.6368054837704655,Rajkumar Hirani,Aamir Khan,0.21622905864780606,-0.6056659251924419,10.0,False,False,False,True,False,False,False,False,False,False,False,False,False
Taare Zameen Par,2007,1.499628499495638,1.6368054837704655,Aamir Khan,Amole Gupte,-0.3202782273154729,-0.6320776842893531,10.0,False,False,False,False,False,True,False,False,False,False,False,False,False
WALL·E,2008,-0.8864435864291704,1.6368054837704655,Andrew Stanton,Ben Burtt,2.2190622532909563,0.47524941922143693,10.0,False,True,False,False,False,False,False,False,False,False,False,False,False
The Lives of Others,2006,0.5024640456763151,1.6368054837704655,Florian Henckel von Donnersmarck,Ulrich Mühe,0.25974864709620876,-0.5820193708939191,10.0,False,False,False,False,False,True,False,False,False,False,False,False,False
Oldeuboi,2003,-0.7796045378056715,1.6368054837704655,Chan-wook Park,Choi Min-sik,0.7388491950387858,-0.6346466455376196,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False
Memento,2000,-0.352248343311676,1.6368054837704655,Christopher Nolan,Guy Pearce,2.603898883670153,-0.5110839714587524,10.0,False,False,False,False,False,False,False,False,False,False,True,False,False
Mononoke-hime,1997,0.3956249970528162,1.6368054837704655,Hayao Miyazaki,Yôji Matsuda,0.21233552243409362,-0.6263494292355122,10.0,False,True,False,False,False,False,False,False,False,False,False,False,False
Once Upon a Time in America,1984,3.7788615367969474,1.6368054837704655,Sergio Leone,Robert De Niro,0.11513158772974699,-0.6116924782032594,10.0,False,False,False,False,True,False,False,False,False,False,False,False,False
Raiders of the Lost Ark,1981,-0.2810223108960101,1.6368054837704655,Steven Spielberg,Harrison Ford,1.8655328324669165,0.5963964027072385,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False
The Shining,1980,0.8229811915468117,1.6368054837704655,Stanley Kubrick,Jack Nicholson,1.9087009635647878,-0.41918571928919657,10.0,False,False,False,False,False,True,False,False,False,False,False,False,False
Apocalypse Now,1979,0.8585942077546447,1.6368054837704655,Francis Ford Coppola,Martin Sheen,1.016796948593342,-0.2229066635466165,10.0,False,False,False,False,False,True,False,False,False,False,False,False,False
Alien,1979,-0.20979627848034416,1.6368054837704655,Ridley Scott,Sigourney Weaver,1.5712071663776,-0.24564931946624333,10.0,False,False,False,False,False,False,False,False,False,True,False,False,False
Anand,1971,-0.03173119744117936,1.6368054837704655,Hrishikesh Mukherjee,Rajesh Khanna,-0.7439279737968267,1.7124801663456337,10.0,False,False,False,False,False,True,False,False,False,False,False,False,False
Tengoku to jigoku,1963,0.7161421429233128,1.6368054837704655,Akira Kurosawa,Toshirô Mifune,-0.7314466536266527,2.448050009560131,10.0,False,False,False,False,True,False,False,False,False,False,False,False,False
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,-0.9932826350526693,1.6368054837704655,Stanley Kubrick,Peter Sellers,0.5402696796868292,-0.6367936933515999,10.0,False,False,False,True,False,False,False,False,False,False,False,False,False
Witness for the Prosecution,1957,-0.24540929468817713,1.6368054837704655,Billy Wilder,Tyrone Power,-0.5037481327454559,-0.5974967370740337,10.0,False,False,False,False,True,False,False,False,False,False,False,False,False
Paths of Glory,1957,-1.2425737485075,1.6368054837704655,Stanley Kubrick,Kirk Douglas,-0.2921708077255881,1.9403619059069983,10.0,False,False,False,False,False,True,False,False,False,False,False,False,False
Rear Window,1954,-0.38786135951950895,1.6368054837704655,Alfred Hitchcock,James Stewart,0.5207103140920414,-0.4552687278802433,10.0,False,False,False,False,False,False,False,False,False,False,True,False,False
Sunset Blvd.,1950,-0.4590873919351749,1.6368054837704655,Billy Wilder,William Holden,-0.2202290161472595,1.8793943226694785,10.0,False,False,False,False,False,True,False,False,False,False,False,False,False
The Great Dictator,1940,0.07510785118231952,1.6368054837704655,Charles Chaplin,Charles Chaplin,-0.2155897791202458,-0.6367311443578695,10.0,False,False,False,True,False,False,False,False,False,False,False,False,False
1917,2019,-0.13857024606467824,1.273635862343695,Sam Mendes,Dean-Charles Chapman,0.46499668365563823,0.15396996796985313,10.0,False,False,False,False,False,True,False,False,False,False,False,False,False
Tumbbad,2018,-0.6727654891821726,1.273635862343695,Rahi Anil Barve,Anand Gandhi,-0.751507227964807,3.1211873455381576,10.0,False,False,False,False,False,True,False,False,False,False,False,False,False
